Name,Location,Open Year-Round,Handicap Accessible,Borough
Hamilton-Metz Field,"Albany, East New York, Lefferts avenues",Yes,No,Brooklyn
Hammel Playground,Rockaway Beach Blvd. Bet. Beach 84 St. And Beach 81 St.,No,Yes,Queens
Hansborough Recreation Center,35 West 134 Street,Yes,No,Manhattan
Happy Warrior Playground,West 98 Street & Amsterdam Avenue,Yes,No,Manhattan
Harold Schneiderman Playground (PS 232),155 Avenue & 83 Street,Yes,Yes,Queens
Harris Park,"West 205 Street, Paul Avenue, Bedford Pk B, Goulden Avenue",Yes,No,Bronx
Harry Maze Memorial Park,Avenue D between East 56 & East 57 Street,Yes,No,Brooklyn
Hart Playground,"37 Avenue, west of 69 Street",Yes,No,Queens
Harvey Park,"15 to 20 avenues, East of Whitestone Expressway",Yes,No,Queens
Hattie Carthan Playground,East of Marcy Street,Yes,No,Brooklyn
Havemeyer Playground,"Watson Avenue, Havenuemeyer Avenue, Cross Bronx Expressway",No,No,Bronx
Heckscher Playground,Grove Street to Linden Street,Yes,Yes,Brooklyn
Henry Hudson Park,"Palisade Avenue, Kappock Street & Independence Avenue",Yes,No,Bronx
Herbert Von King Park,"Greene, Marcy, Lafayette, Tompkins avenues",Yes,Yes,Brooklyn
Herman Dolgon Playground,Avenue V & Nostrand Avenue,Yes,No,Brooklyn
Hermon MacNeil Park,East of paved path running north from 119th Street,Yes,No,Queens
High Rock Park,Richmond Parkway & Moravian Cemetery at Rockland Avenue,Yes,No,Staten Island
High Rock Park (Education Building),Richmond Parkway & Moravian Cemetery at Rockland Avenue,Yes,No,Staten Island
High Rock Park (McArthur Park),Richmond Parkway & Moravian Cemetery at Rockland Avenue,Yes,Yes,Staten Island
High Rock Park (Visitor Center),Richmond Parkway & Moravian Cemetery at Rockland Avenue,Yes,No,Staten Island
Highbridge Park (Quisqueya Playground),West 180 Street & Amsterdam Avenue,Yes,No,Manhattan
Highbridge Park (Recreation Center),"West 155 & Dyckman streets, Edgecombe & Amsterdam avenues",Yes,No,Manhattan
Highbridge Park (Wallenberg Playground),West 188 Street & Amsterdam Avenue,Yes,Yes,Manhattan
Highbridge Park-Wallenberg Playground,W 189 St & Amsterdam Ave,No,Yes,Manhattan
Highland Park,Jackie Robinson Parkway to Highland Boulevard,Yes,No,Queens
Hoffman Park,Hoffman Drive west of Queens Boulevard,Yes,No,Queens
Holcombe Rucker,"West 155 Street, 8 Avenue to Harlem River Drive",Yes,No,Manhattan
Hollis Playground (JHS 192),205 Street & Hollis Avenue,No,No,Queens
Holy Cow Playground (PS 179),Peck Avenue & Harding Boulevard,No,No,Queens
Hoover Playground,Manton Street & 83 Avenue,Yes,No,Queens
Horace Harding Playground (PS 206),62 Drive between 97 Place & 98 Street,Yes,No,Queens
Horseshoe Playground,"Hall Place, Rogers Place, East 165 Street",Yes,No,Bronx
Howard Bennett Playground,"West 135 to West 136 streets, Lenox to 5 avenues",Yes,No,Manhattan
Hunts Point Playground,"Spofford Avenue, Hunts Point Avenue, Faile Street",Yes,No,Bronx
Inwood Hill Park (Nature Center),Gaelic Field and Area around Salt Marsh West of Indian Road (at 218th Street),Yes,No,Manhattan
Inwood Hill Park (Payson Playground),Payson & Dyckman streets,Yes,No,Manhattan
Inwood Hill Park (Tennis Courts),Tennis courts & ballfields along Seaman Avenue from 207th Street to 214th Street,Yes,No,Manhattan
J. Hood Wright Park,"Ft. Washington & Haven avenues, West 173 Street",Yes,Yes,Manhattan
J.J. Byrne Memorial Park,"3 to 4 streets, 4 to 5 avenues",Yes,No,Brooklyn
Jackie Robinson Park,Malcolm X Boulevard between Chauncey and Marion streets,Yes,Yes,Brooklyn
Jackie Robinson Park,West 149 Street & Bradhurst Avenue,Yes,No,Manhattan
Jackie Robinson Park (Playground One Fifty Two CLII),West 152 Street & Bradhurst Avenue,Yes,No,Manhattan
Jackie Robinson Park (Recreation Center),"Bradhurst & Edgecombe avenues,West 145 to West 155 streets",Yes,Yes,Manhattan
Jackie Robinson Playground,"Sullivan Place & Franklin Avenue, Montgomery Street",Yes,No,Brooklyn
Jacob Schiff Playground (PS 192),"Amsterdam Avenue, West 136 Street",Yes,No,Manhattan
